participant,congruent_flanker,incongruent_flanker,neutral_flanker,flanker_effect,congruent_simon,incongruent_simon,neutral_simon,simon_effect,inhibition_score
1,0.495310083328756,0.517964954165412,0.456667849994119,0.022654870836656016,0.37960207499903237,0.38808153958355734,0.36504363125519984,0.008479464584524976,0.015567167710590496
2,0.4188248212765737,0.4487770833333589,0.40863237499993943,0.029952262056785195,0.48972151458332885,0.5287841958333411,0.4636280854166633,0.03906268125001228,0.034507471653398736
3,0.4206590979166265,0.42568167499999277,0.4215123583333498,0.005022577083366286,0.5956492404255651,0.6591875520832673,0.49886794565228504,0.06353831165770218,0.034280444370534235
4,0.39957267916667166,0.4485002000000098,0.39009189791661925,0.04892752083333812,0.47597309583333214,0.46914025625000494,0.4562949062500022,-0.006832839583327199,0.021047340625005462
5,0.4044477625000127,0.46579239583330906,0.40289171489366904,0.06134463333329637,0.3974393791667315,0.40517275833330285,0.3938500458333465,0.0077333791665713525,0.03453900624993386
6,0.45419036872529733,0.451763891648928,0.426806252085953,-0.0024264770763693377,0.47499959788067225,0.5186039916588925,0.47423704793618526,0.04360439377822023,0.020588958350925446
7,0.5626396234041594,0.6014298916666121,0.5399667125000557,0.03879026826245269,0.5685108914892631,0.6221427750000809,0.5594069958334179,0.05363188351081771,0.0462110758866352
8,0.46836465416663486,0.4706055375000157,0.43474210416667347,0.0022408833333808498,0.4279605708333338,0.41690293541667245,0.40829703541666024,-0.011057635416661327,-0.0044083760416402384
9,0.49321443333333664,0.5172941708333264,0.44475901041667026,0.024079737499989762,0.4530404729166643,0.5082737166666315,0.47346799787229876,0.05523324374996713,0.03965649062497845
10,0.44321694166667197,0.48730761304349196,0.44742138124998593,0.04409067137681999,0.47314799318182565,0.5277236659090828,0.5757016374999976,0.05457567272725716,0.049333172052038576
11,0.37753685833407263,0.4161015624992312,0.37532137659566595,0.03856470416515856,0.40632571250019583,0.4307938479165993,0.3894772979174377,0.02446813541640347,0.031516419790781014
12,0.4452988770833504,0.4556846978723425,0.4169652687499763,0.010385820788992084,0.462133882608692,0.5065219354166727,0.49631488541666496,0.044388052807980694,0.02738693679848639
13,0.5353293708330966,0.666111736956341,0.5114767104162942,0.13078236612324434,0.554439810416928,0.5988938562507732,0.5729766291651686,0.04445404583384516,0.08761820597854475
14,0.5928226354177847,0.5905493416654887,0.5618428395828232,-0.002273293752296013,0.7248921276601478,0.71923900425231,0.6722266191481662,-0.005653123407837746,-0.003963208580066879
15,0.4413941000000013,0.48405432708332796,0.4613909437500041,0.042660227083326674,0.45339500208330225,0.4828454104166345,0.47325444791668286,0.029450408333332234,0.036055317708329454
16,0.4637383446808521,0.5245297437500464,0.4601174229166152,0.06079139906919423,0.44659904166663483,0.499439039583289,0.4443224708333749,0.05283999791665417,0.0568156984929242
17,0.45198022083328243,0.4981721604167812,0.4377828729166519,0.046191939583498764,0.44917263958325293,0.5487569979166741,0.44896891874994554,0.09958435833342116,0.07288814895845996
18,0.3988188937497246,0.425176445833434,0.375043770833751,0.02635755208370938,0.3879623276595165,0.4425982249999076,0.4082053404254498,0.05463589734039109,0.040496724712050236
19,0.7741125770835424,0.7818118444446656,0.6744268130426897,0.007699267361123141,0.6535887340417483,0.7047350214273874,0.6454078956528025,0.05114628738563909,0.029422777373381115
20,0.6003697042552302,0.5964985978260736,0.546897421276705,-0.0038711064291565567,0.592849027083337,0.609643391666656,0.5686948312499945,0.016794364583319066,0.0064616290770812546
21,0.5033310729166693,0.5189101500000023,0.44963975416667407,0.015579077083332948,0.5046131854166352,0.5098575458333793,0.4750989531914959,0.005244360416744032,0.01041171875003849
22,0.417448095833322,0.49573158958333846,0.423658381249993,0.07828349375001648,0.4577797833333494,0.47608716041666926,0.42637543958333285,0.018307377083319865,0.04829543541666817
23,0.4699934833333259,0.5120222489362122,0.5099841425530843,0.042028765602886264,0.4502474312499203,0.5040806124999335,0.4644773083334523,0.05383318125001324,0.04793097342644975
24,0.46909157777748384,0.4623719291676025,0.46219384166609717,-0.006719648609881335,0.6513477804360066,0.7016750022225703,0.6423138789468794,0.05032722178656368,0.021803786588341173
